step,t,tau,E,Omega,w_inf,phi_prime,czeta_count,wall_s
1,0.00933831210792347,0.006,0.003110523849968594,0.19958236773916932,1.0112787388666868,1.5563853513205783,0,0.09285807609558105
2,0.018708191244933066,0.012,0.0036650971944978583,0.23500900594681914,1.0822204896877907,1.5616465228349325,0,0.17491602897644043
3,0.028110027468733714,0.018000000000000002,0.004262518118770092,0.27318891662505823,1.1533769757183028,1.5669727039667745,0,0.24657464027404785
4,0.037544184656235845,0.024,0.004902205768208203,0.31408278996939265,1.224679009004116,1.5723595312503547,0,0.3165607452392578
5,0.047011003930842385,0.03,0.005583582543374601,0.3576519803470348,1.2960672512260365,1.5778032124344235,0,0.39579248428344727
6,0.05651080660027928,0.036,0.006306074517512596,0.40385842841521036,1.367490767724799,1.583300444906149,0,0.47492289543151855
7,0.06604389667775303,0.041999999999999996,0.007069111778866126,0.45266460381530726,1.4389058008669173,1.5888483462456235,0,0.5462925434112549
8,0.07561056304797031,0.047999999999999994,0.007872128710814356,0.5040334628319586,1.5102747287708602,1.5944443950362155,0,0.6019947528839111
9,0.0852110813301146,0.05399999999999999,0.008714564220573992,0.5579284169565791,1.581565180730216,1.6000863803573795,0,0.6818289756774902
10,0.09484571548193896,0.05999999999999999,0.009595861925335144,0.6143133094106813,1.6527492851599321,1.6057723586373929,0,0.7502193450927734
11,0.10451471918245482,0.06599999999999999,0.010515470303138801,0.6731523974889416,1.7238030296781957,1.6115006167526442,0,0.8072712421417236
12,0.11421833702506405,0.072,0.011472842814518958,0.7344103391634377,1.79470571612773,1.6172696404348716,0,0.8852529525756836
13,0.12395680554822805,0.078,0.012467437999873102,0.7980521828115341,1.8654394960284215,1.6230780871940003,0,0.9498748779296875
14,0.13373035412674905,0.084,0.013498719556651871,0.8640433592354217,1.9359889742169456,1.628924763086834,0,1.0173733234405518
15,0.14353920574333773,0.09000000000000001,0.014566156399739627,0.932349675363501,2.006340870335189,1.6348086027647806,0,1.0757980346679688
16,0.15338357765725974,0.09600000000000002,0.015669222707805838,1.0029373091856995,2.0764837294343144,1.6407286523203362,0,1.147021770477295
17,0.1632636819844091,0.10200000000000002,0.0168073979579196,1.0757728055930529,2.1464076743130613,1.6466840545248955,0,1.2130162715911865
18,0.1731797262010805,0.10800000000000003,0.017980166950318642,1.1508230728783992,2.2161041933476366,1.6526740361118983,0,1.3295235633850098
19,0.18313191358194728,0.11400000000000003,0.019187019824894076,1.228055379718501,2.2855659585300874,1.6586978968111292,0,1.503333330154419
20,0.19312044358125027,0.12000000000000004,0.020427452070680415,1.3074373525045377,2.3547866692411334,1.6647549998838327,0,1.6042561531066895
21,0.2031455121649223,0.12600000000000003,0.02170096452941712,1.388936972922282,2.423760917965746,1.6708447639453388,0,1.6860928535461426
22,0.21320731210028218,0.13200000000000003,0.023007063394063883,1.4725225757086169,2.492484074735696,1.6769666558933134,0,1.7852795124053955
23,0.22330603320900022,0.13800000000000004,0.024345260203000804,1.5581628465298396,2.560952187569541,1.6831201847863408,0,1.8687500953674316
24,0.23344186258824118,0.14400000000000004,0.02571507183052009,1.6458268199411032,2.6291618965914547,1.6893048965401616,0,1.9627959728240967
25,0.24361498480420962,0.15000000000000005,0.02711602047411356,1.7354838773967145,2.6971103598577484,1.6955203693280743,0,2.0483946800231934
26,0.25382558206173966,0.15600000000000006,0.0285476336389761,1.8271037452887093,2.7647951892138374,1.7017662095883361,0,2.134174108505249
27,0.26407383435307147,0.16200000000000006,0.030009444120075897,1.9206564929969236,2.8322143947534046,1.7080420485553007,0,2.234924077987671
28,0.27435991958852873,0.16800000000000007,0.03150098998208531,2.0161125309380834,2.8993663366623363,1.7143475392428773,0,2.3314156532287598
29,0.2846840137114427,0.17400000000000007,0.033021814537419314,2.113442608604719,2.966249683408973,1.7206823538189973,0,2.450597047805786
30,0.2950462907993531,0.18000000000000008,0.03457146632258988,2.2126178125871485,3.032863375393872,1.7270461813183953,0,2.5615062713623047
31,0.30544692315324345,0.18600000000000008,0.0361494990730528,2.313609564573661,3.0992065933013286,1.7334387256483959,0,2.6613221168518066
32,0.31588608137633556,0.1920000000000001,0.037755471696697546,2.4163896193254297,3.165278730504413,1.739859703848682,0,2.7370080947875977
33,0.3263639344437642,0.1980000000000001,0.03938894824610865,2.520930062623796,3.2310793689684973,1.7463088445714423,0,2.8287768363952637
34,0.33688064976428156,0.2040000000000001,0.04104949788971011,2.627203309188365,3.2966082581776925,1.7527858867528916,0,2.9117183685302734
35,0.3474363932349885,0.2100000000000001,0.042736694881888825,2.735182100565032,3.3618652966761653,1.7592905784511566,0,3.006617784500122
36,0.3580313292899618,0.2160000000000001,0.0444501185321815,2.844839502983525,3.4268505158740434,1.7658226758288849,0,3.0863492488861084
37,0.36866562094353317,0.22200000000000011,0.046189353173599304,2.956148905184456,3.4915640658168465,1.772381942261901,0,3.169640064239502
38,0.3793394298288794,0.22800000000000012,0.04795398813015617,3.0690840162161637,3.556006202659424,1.7789681475577088,0,3.2615978717803955
39,0.39005291623249844,0.23400000000000012,0.04974361768365966,3.183618863201878,3.620177277621392,1.7855810672698362,0,3.347914695739746
40,0.40080623912507357,0.24000000000000013,0.05155784103981804,3.2997277890779086,3.684077727231788,1.7922204820958523,0,3.439082622528076
41,0.4115995561891647,0.24600000000000014,0.05339626229371174,3.4173854503037178,3.7477080646970684,1.7988861773485227,0,3.5193912982940674
42,0.4224330238441103,0.2520000000000001,0.05525849039467387,3.536566814544841,3.811068872249188,1.8055779424909268,0,3.595738172531128
43,0.4333067972684758,0.2580000000000001,0.0571441391106209,3.6572471583297186,3.87416079434984,1.812295570727582,0,3.6697640419006348
44,0.4442210304203436,0.2640000000000001,0.059052826991871775,3.779402064681567,3.936984531643672,1.8190388586446318,0,3.7399158477783203
45,0.45517587605570203,0.27000000000000013,0.06098417733449122,3.903007420726458,3.9995408355675557,1.82580760589307,0,3.803706645965576
46,0.46617148574516043,0.27600000000000013,0.06293781814319106,4.028039415278847,4.061830503535336,1.8326016149097366,0,3.8684704303741455
47,0.4772080098891893,0.28200000000000014,0.06491338209382139,4.154474536405765,4.123854374628093,1.8394206906714827,0,3.9327259063720703
48,0.4882855977320604,0.28800000000000014,0.06691050649548211,4.282289568970992,4.185613325729128,1.8462646404785112,0,3.9966320991516113
49,0.4994043973746406,0.29400000000000015,0.0689288332522833,4.411461592160427,4.247108268050692,1.8531332737633732,0,4.076277017593384
50,0.510564555786176,0.30000000000000016,0.07096800882478316,4.541967976990011,4.308340144006435,1.8600264019225643,0,4.140173673629761
51,0.5217662188151841,0.30600000000000016,0.0730276841911288,4.673786383797421,4.369309924389291,1.8669438381680294,0,4.204054117202759
52,0.5330095311995615,0.31200000000000017,0.07510751480792656,4.8068947597188645,4.430018605819733,1.873885397396219,0,4.284619331359863
53,0.5442946365759974,0.31800000000000017,0.07720716057086623,4.941271336152231,4.4904672084337225,1.8808508960726502,0,4.364190578460693
54,0.5556216774887782,0.3240000000000002,0.0793262857751227,5.0768946262078485,4.55065677378343,1.8878401521301336,0,4.428142786026001
55,0.5669907953980527,0.3300000000000002,0.08146455907555847,5.213743422148114,4.610588362927247,1.8948529848790945,0,4.508365154266357
56,0.5784021306876242,0.3360000000000002,0.08362165344674907,5.3517967928172165,4.670263054688429,1.9018892149285807,0,4.57183575630188
57,0.5898558226723245,0.3420000000000002,0.08579724614285314,5.4910340810621445,4.729681944064205,1.9089486641167162,0,4.635510683059692
58,0.6013520096050217,0.3480000000000002,0.0879910186573479,5.631434901146209,4.7888461407694285,1.916031155449526,0,4.700164794921875
59,0.6128908286833047,0.3540000000000002,0.0902026566826502,5.772979136156212,4.847756767900731,1.9231365130471674,0,4.764305114746094
60,0.624472416055885,0.3600000000000002,0.09243185006964308,5.9156469354044035,4.906414960708729,1.930264562096716,0,4.859445810317993
61,0.6360969068287496,0.3660000000000002,0.09467829278712633,6.059418711826366,4.964821865467441,1.9374151288107762,0,4.946513891220093
62,0.647764435071097,0.3720000000000002,0.09694168288120977,6.204275139375912,5.0229786384311605,1.944588040391233,0,5.002640008926392
63,0.6594751338210825,0.3780000000000002,0.09922172243466712,6.350197150418035,5.080886444870292,1.9517831249975792,0,5.082993745803833
64,0.6712291350913983,0.38400000000000023,0.10151811752626727,6.497165933120977,5.138546458178513,1.9590002117192908,0,5.162775993347168
65,0.683026569874709,0.39000000000000024,0.1038305781901001,6.645162928848419,5.195959859044549,1.9662391305517906,0,5.2364959716796875
66,0.6948675681489627,0.39600000000000024,0.10615881837491266,6.794169829552761,5.253127834682589,1.973499712375602,0,5.30587100982666
67,0.7067522588825925,0.40200000000000025,0.10850255590347128,6.944168575170453,5.310051578115967,1.9807817889383168,0,5.385970830917358
68,0.7186807700396269,0.40800000000000025,0.11086151243196514,7.095141351020302,5.36673228750942,1.9880851928390704,0,5.455844163894653
69,0.7306532285847183,0.41400000000000026,0.11323541340946494,7.247070585205647,5.423171165545599,1.995409757515229,0,5.545570135116577
70,0.7426697604881045,0.42000000000000026,0.11562398803745176,7.3999389460212806,5.479369418842127,2.0027553172310415,0,5.633139133453369
71,0.7547304907305127,0.42600000000000027,0.11802696922942875,7.553729339365919,5.535328257405741,2.01012170706802,0,5.705186367034912
72,0.7668355433080138,0.4320000000000003,0.12044409357062894,7.7084249061610866,5.591048894120507,2.0175087629168655,0,5.769293785095215
73,0.7789850412368382,0.4380000000000003,0.12287510127783231,7.864009019777135,5.6465325442673295,2.02491632147073,0,5.833063840866089
74,0.7911791065581564,0.4440000000000003,0.1253197361593031,8.020465283467201,5.701780425072367,2.032344220219692,0,5.935027122497559
75,0.8034178603428339,0.4500000000000003,0.12777774557486002,8.177777527809807,5.756793755282047,2.039792297446263,0,6.0085670948028564
76,0.815701422696165,0.4560000000000003,0.13024888039608967,8.335929808160785,5.811573754762742,2.047260392221835,0,6.088567018508911
77,0.8280299127625885,0.4620000000000003,0.1327328949667144,8.494906402115213,5.866121644123261,2.0547483444039205,0,6.184659242630005
78,0.8404034487303932,0.4680000000000003,0.13522954706312496,8.654691806980036,5.920438644358541,2.0622559946341097,0,6.282949447631836
79,0.852822147836413,0.4740000000000003,0.13773859785508696,8.815270737257936,5.97452597651302,2.069783184336636,0,6.355253219604492
80,0.8652861263707179,0.4800000000000003,0.14025981186663172,8.976628122143062,6.028384861362385,2.0773297557174835,0,6.417533874511719
81,0.8777954996813015,0.4860000000000003,0.14279295693713928,9.138749103029205,6.082016519112411,2.0848955517639407,0,6.4704577922821045
82,0.8903503821787689,0.4920000000000003,0.14533780418262332,9.301619031030953,6.135422169113823,2.0924804162445705,0,6.551613807678223
83,0.9029508873410259,0.49800000000000033,0.14789412795722529,9.465223464518306,6.188603029592112,2.100084193709492,0,6.6432764530181885
84,0.9155971277179717,0.5040000000000003,0.15046170581492593,9.629548166665314,6.2415603173914205,2.1077067294909706,0,6.708108901977539
85,0.9282892149361971,0.5100000000000003,0.1530403184714818,9.794579103013135,6.294295247731574,2.11534786970423,0,6.773145437240601
86,0.9410272597036878,0.5160000000000003,0.1556297497665933,9.960302439048005,6.3468090339775225,2.1230074612484646,0,6.842205047607422
87,0.9538113718145359,0.5220000000000004,0.15822978662631149,10.126704537794538,6.399102887420467,2.130685351808015,0,6.908008098602295
88,0.9666416601536578,0.5280000000000004,0.16084021902568973,10.293771957424728,6.451178017069971,2.138381389853659,0,6.980482578277588
89,0.9795182327015219,0.5340000000000004,0.16346083995168653,10.461491448883095,6.50303562945647,2.1460954246440114,0,7.049936532974243
90,0.9924411965388837,0.5400000000000004,0.16609144536632417,10.629849953528252,6.554676928443599,2.153827306226975,0,7.122410297393799
91,1.0054106578515312,0.5460000000000004,0.16873183417011034,10.79883460079131,6.606103115049833,2.1615768854412503,0,7.185702562332153
92,1.0184267219350382,0.5520000000000004,0.1713818081657258,10.96843270585138,6.65731538727891,2.1693440139178657,0,7.244781494140625
93,1.0314894931995284,0.5580000000000004,0.17404117202198452,11.138631767328539,6.708314939958636,2.177128544081706,0,7.317605495452881
94,1.0445990751744467,0.5640000000000004,0.17670973323806943,11.309419464994445,6.75910296458762,2.184930329153035,0,7.381279945373535
95,1.0577555705133406,0.5700000000000004,0.1793873021080487,11.480783657500975,6.809680649189552,2.192749223148991,0,7.448793172836304
96,1.070959080998651,0.5760000000000004,0.18207369168567614,11.652712380127024,6.860049178174657,2.2005850808850353,0,7.529721975326538
97,1.0842097075465091,0.5820000000000004,0.1847687177494793,11.825193842543804,6.910209732208001,2.208437757976361,0,7.607348680496216
98,1.0975075502115446,0.5880000000000004,0.18747219876813878,11.998216426598736,6.960163488084306,2.216307110839226,0,7.675691604614258
99,1.110852708191698,0.5940000000000004,0.1901839558661614,12.171768684118222,7.00991161860899,2.2241929966922256,0,7.741292476654053
100,1.124245279833043,0.6000000000000004,0.19290381278985066,12.345839334729446,7.059455292485139,2.232095273557483,0,7.804981470108032
101,1.1376853626346135,0.6060000000000004,0.19563159587357648,12.520417263701333,7.108795674206172,2.2400138002617522,0,7.868724584579468
102,1.151173053253238,0.6120000000000004,0.19836713400634687,12.695491519804879,7.157933923953912,2.2479484364374316,0,7.93947696685791
103,1.1647084475083789,0.6180000000000004,0.20111025859868376,12.871051313192929,7.206871197501859,2.2558990425234824,0,8.006149768829346
104,1.1782916403869763,0.6240000000000004,0.20386080354980446,13.047086013299573,7.255608646123443,2.263865479766242,0,8.095180749893188
105,1.1919227260482972,0.6300000000000004,0.20661860521511105,13.223585146759207,7.304147416505031,2.2718476102201417,0,8.160819292068481
106,1.205601797828787,0.6360000000000005,0.2093835023739883,13.40053839534542,7.352488650663498,2.279845296748306,0,8.230762243270874
107,1.2193289482469252,0.6420000000000005,0.2121553361979127,13.577935593929732,7.400633485868188,2.2878584030230504,0,8.305232048034668
108,1.233104269008083,0.6480000000000005,0.21493395021887213,13.755766728460294,7.44858305456708,2.295886793526272,0,8.368347406387329
109,1.246927851009381,0.6540000000000005,0.21771919029809858,13.934021933960588,7.496338484316959,2.3039303335497108,0,8.448016166687012
110,1.2607997843445518,0.6600000000000005,0.22051090459511352,14.112691492548148,7.5439008977175,2.311988889195113,0,8.511504650115967
111,1.2747201583087975,0.6660000000000005,0.22330894353708716,14.29176583147342,7.591271412349063,2.3200623273742793,0,8.575570821762085
112,1.2886890614036515,0.6720000000000005,0.22611315978851176,14.471235521178667,7.638451140714045,2.3281505158089884,0,8.639307022094727
113,1.3027065813418364,0.6780000000000005,0.22892340822118926,14.651091273377059,7.6854411901817,2.336253323030811,0,8.702776670455933
114,1.3167728050521212,0.6840000000000005,0.23173954588453305,14.831323939151849,7.732242662936255,2.344370618380817,0,8.767184257507324
115,1.3308878186841762,0.6900000000000005,0.23456143197618468,15.01192450707568,7.778856655928206,2.3525022720091564,0,8.837171792984009
116,1.3450517076134234,0.6960000000000005,0.2373889278129441,15.192884101350046,7.825284260828685,2.360648154874533,0,8.91164779663086
117,1.359264556445885,0.7020000000000005,0.24022189680201406,15.374193979964783,7.871526563986781,2.368808138743573,0,8.996723651885986
118,1.3735264490230255,0.7080000000000005,0.24306020441255782,15.555845532877663,7.917584646389677,2.376982096190068,0,9.07253384590149
119,1.3878374684265902,0.7140000000000005,0.24590371814756992,15.737830280214014,7.963459583625547,2.3851699005941205,0,9.148179054260254
120,1.4021976969834373,0.7200000000000005,0.24875230751605826,15.920139870486286,8.00915244584907,2.3933714261411785,0,9.211476564407349
121,1.4166072162703631,0.7260000000000005,0.2516058440055384,16.10276607883357,8.054664297749495,2.401586547820961,0,9.27614450454712
122,1.4310661071189208,0.7320000000000005,0.2544642010548375,16.285700805280996,8.099996198521117,2.409815141426276,0,9.34053373336792
123,1.4455744496202312,0.7380000000000005,0.257327254027208,16.468936073018877,8.145149201836148,2.4180570835517448,0,9.405149221420288
124,1.4601323231297858,0.7440000000000005,0.26019488018374953,16.65246402670165,8.190124355819862,2.4263122515924205,0,9.499810695648193
125,1.4747398062722397,0.7500000000000006,0.2630669586571369,16.836276930766417,8.234922703027847,2.434580523742298,0,9.587066411972046
126,1.489396976946196,0.7560000000000006,0.26594337042565536,17.02036716777109,8.279545280425484,2.442861778992743,0,9.674272298812866
127,1.504103912328981,0.7620000000000006,0.2688239982875386,17.204727236751978,8.32399311936936,2.451155897130813,0,9.753829956054688
128,1.518860688881406,0.7680000000000006,0.27170872683561054,17.389349751600765,8.368267245590681,2.4594627587374913,0,9.83364486694336
129,1.5336673823525209,0.7740000000000006,0.2745974424322276,17.574227439460785,8.41236867918056,2.4677822451858202,0,9.897489070892334
130,1.5485240677843546,0.7800000000000006,0.2774900331845214,17.759353139142476,8.456298434577171,2.4761142386389667,0,9.968858242034912
131,1.5634308195166438,0.7860000000000006,0.28038638891993845,17.944719799557873,8.500057520554577,2.4844586220481784,0,10.025177240371704
132,1.5783877111915476,0.7920000000000006,0.28328640116207676,18.130320478174085,8.543646940213288,2.4928152791506575,0,10.088923215866089
133,1.593394815758352,0.7980000000000006,0.2861899631068161,18.316148339485572,8.587067690972495,2.5011840944673738,0,10.15308666229248
134,1.6084522054781565,0.8040000000000006,0.2890969695987415,18.502196653505223,8.630320764563773,2.5095649533007682,0,10.217340230941772
135,1.6235599519285508,0.8100000000000006,0.2920073171078559,18.68845879427391,8.6734071470264,2.517957741732399,0,10.280967950820923
136,1.638718126008274,0.8160000000000006,0.29492090370658297,18.874928238388613,8.71632781870407,2.5263623466205036,0,10.346689462661743
137,1.6539267979418588,0.8220000000000006,0.29783762904705485,19.06159856354877,8.759083754243022,2.534778655597483,0,10.408782482147217
138,1.6691860372842628,0.8280000000000006,0.3007573943386852,19.248463447120972,8.801675922591569,2.5432065570673306,0,10.472450256347656
139,1.6844959129254806,0.8340000000000006,0.3036801023260237,19.43551666472156,8.844105287000852,2.551645940202969,0,10.536536693572998
140,1.6998564930951419,0.8400000000000006,0.3066056572668913,19.622752088817258,8.886372805026923,2.5600966949435384,0,10.601213693618774
141,1.7152678453670915,0.8460000000000006,0.30953396491079305,19.810163687343543,8.92847942853401,2.568558711991612,0,10.671270847320557
142,1.7307300366639535,0.8520000000000006,0.31246493247760593,19.997745522340672,8.97042610369893,2.577031882810346,0,10.744437217712402
143,1.746243133261677,0.8580000000000007,0.31539846863654075,20.185491748607166,9.012213771016675,2.585516099620579,0,10.808537244796753
144,1.7618072007940642,0.8640000000000007,0.3183344834853745,20.373396612370673,9.053843365307012,2.594011255397857,0,10.87174129486084
145,1.7774223042572808,0.8700000000000007,0.32127288852995195,20.561454449976008,9.095315815722177,2.6025172438694217,0,10.935503005981445
146,1.7930885080143475,0.8760000000000007,0.32421359666395244,20.74965968659025,9.136632045755555,2.611033959511122,0,11.019541263580322
147,1.8088058757996133,0.8820000000000007,0.32715652214892166,20.93800683492471,9.177792973251307,2.6195612975442946,0,11.095202684402466
148,1.8245744707232088,0.8880000000000007,0.33010158059456407,21.12649049397362,9.218799510414927,2.628099153932574,0,11.16454553604126
149,1.8403943552754807,0.8940000000000007,0.3330486889392951,21.315105347769475,9.259652563824705,2.6366474253786683,0,11.233152389526367
150,1.8562655913314072,0.9000000000000007,0.3359977654310496,21.50384616415468,9.300353034444058,2.645206009321091,0,11.301385402679443
151,1.872188240154992,0.9060000000000007,0.3389487296083439,21.69270779356961,9.34090181763461,2.6537748039308258,0,11.366635799407959
152,1.8881623624036399,0.9120000000000007,0.34190150228159033,21.881685167856613,9.381299803170151,2.662353708107971,0,11.43087363243103
153,1.90418801813251,0.9180000000000007,0.3448560055146611,22.07077329908013,9.421547875251315,2.6709426214783387,0,11.506300687789917
154,1.92026526679885,0.9240000000000007,0.3478121626066978,22.25996727836246,9.461646912520964,2.6795414443900016,0,11.600261926651001
155,1.936394167266309,0.9300000000000007,0.35076989807416586,22.44926227473524,9.501597788080312,2.6881500779098206,0,11.679775714874268
156,1.9525747778092286,0.9360000000000007,0.3537291376331509,22.63865353400637,9.541401369505685,2.6967684238199228,0,11.77686071395874
157,1.9688071561169136,0.9420000000000007,0.35668980818189366,22.828136377642252,9.581058518865953,2.705396384614149,0,11.85533595085144
158,1.9850913592978805,0.9480000000000007,0.35965183778356197,23.017706201665188,9.620570092740564,2.7140338634944787,0,11.935716152191162
159,2.0014274438840847,0.9540000000000007,0.36261515564925684,23.207358475565705,9.659936942238126,2.7226807643673987,0,12.027295112609863
160,2.017815465835126,0.9600000000000007,0.36557969212124986,23.397088741229776,9.69915991301565,2.7313369918402803,0,12.115012645721436
161,2.0342554805424324,0.9660000000000007,0.3685453786564506,23.5868926118807,9.73823984529824,2.740002451217693,0,12.221539974212646
162,2.0507475428334185,0.9720000000000008,0.3715121478100992,23.776765771035404,9.777177573899335,2.7486770484977137,0,12.31923532485962
163,2.067291706975628,0.9780000000000008,0.3744799332196845,23.966703971475212,9.81597392824144,2.757360690368196,0,12.410090446472168
164,2.083888026680846,0.9840000000000008,0.37744866958908285,24.1567030342307,9.854629732377363,2.7660532842030445,0,12.5230872631073
165,2.1005365551091963,0.9900000000000008,0.38041829267291616,24.346758847580592,9.893145805011837,2.7747547380584265,0,12.633766889572144
166,2.1172373448732102,0.9960000000000008,0.38338873926112715,24.536867366064566,9.931522959523605,2.783464960668997,0,12.746886014938354
167,2.133990448041875,1.0020000000000007,0.3863599471637678,24.727024609509712,9.969762003987922,2.7921838614440877,0,12.872875452041626
168,2.1507959161446584,1.0080000000000007,0.3893318551959997,24.917226662070533,10.007863741199444,2.80091135046389,0,12.992191791534424
169,2.167653800175512,1.0140000000000007,0.3923044031633042,25.10746967128238,10.045828968695455,2.809647338475607,0,13.109752178192139
170,2.1845641505968496,1.0200000000000007,0.39527753184689846,25.29774984712807,10.083658478779487,2.818391736889607,0,13.209487199783325
171,2.201527017343503,1.0260000000000007,0.39825118298935597,25.488063461117598,10.121353058545244,2.8271444577755465,0,13.304173707962036
172,2.218542449826654,1.0320000000000007,0.40122529928042905,25.67840684538075,10.158913489900872,2.8359054138585,0,13.387472867965698
173,2.235610496937744,1.0380000000000007,0.4041998243430705,25.868776391772492,10.19634054959348,2.8446745185150566,0,13.47598671913147
174,2.252731207052361,1.0440000000000007,0.4071747027196524,26.05916855099095,10.233635009234,2.853451685769426,0,13.576068878173828
175,2.269904628034098,1.0500000000000007,0.41014987985837953,26.249579831707877,10.270797635322285,2.8622368302895222,0,13.665440797805786
176,2.2871308072383965,1.0560000000000007,0.4131253020998944,26.440006799711348,10.30782918927245,2.871029867383045,0,13.748389482498169
177,2.304409791516358,1.0620000000000007,0.4161009166640728,26.63044607706066,10.344730427438481,2.8798307129935594,0,13.834987878799438
178,2.3217416272185374,1.0680000000000007,0.4190766716370065,26.820894341253258,10.381502101140054,2.8886392836965515,0,13.909014701843262
179,2.3391263601987102,1.0740000000000007,0.4220525159581711,27.01134832440342,10.41814495668853,2.8974554966955046,0,13.976944208145142
180,2.356564035817618,1.0800000000000007,0.4250283994077761,27.201804812432673,10.454659735413225,2.9062792698179525,0,14.040621519088745
181,2.374054698946687,1.0860000000000007,0.4280042725942964,27.39226064427181,10.491047173687763,2.9151105215115285,0,14.109910488128662
182,2.391598393971727,1.0920000000000007,0.4309800869421817,27.582712711074272,10.527308002956705,2.923949170840038,0,14.190110683441162
183,2.409195164796604,1.0980000000000008,0.4339557946797411,27.773157955440755,10.56344294976223,2.9327951374794887,0,14.255746841430664
184,2.426845054846889,1.1040000000000008,0.4369313488272015,27.963593370654955,10.599452735771074,2.9416483417141643,0,14.332098484039307
185,2.444548107073485,1.1100000000000008,0.4399067031849392,28.15401599993036,10.635338077801494,2.9505087044326657,0,14.40337347984314
186,2.4623043639562288,1.1160000000000008,0.4428818123218776,28.3444229356677,10.671099687850454,2.9593761471239732,0,14.482538938522339
187,2.4801138675074696,1.1220000000000008,0.4458566315640543,28.53481131872327,10.70673827312084,2.968250591873494,0,14.549342155456543
188,2.4979766592756243,1.1280000000000008,0.44883111698335204,28.725178337687673,10.742254536048861,2.9771319613591336,0,14.614197731018066
189,2.5158927803487083,1.1340000000000008,0.45180522538639256,28.915521228175002,10.777649174331465,2.9860201788473564,0,14.678552627563477
