step,t,tau,w_inf,E,Z,P_in,epsilon,phi_prime
1,0.0,0.0,8.65489118478452,0.2529776824800165,16.203027789360316,-1.257404881000816,0.001272582826724141,2.5051949260202737
2,0.015031169556121642,0.006,8.701816012714795,0.2559840621784113,16.39540982419388,-1.264854507158823,0.0012876924764070354,2.514345598635491
3,0.03011724314793459,0.012,8.748571268071125,0.2589971612780898,16.588222072210193,-1.272277017779496,0.0013028359149542899,2.5235157483497006
4,0.045258337638032796,0.018000000000000002,8.795157817164403,0.26201684390666763,16.781455836022612,-1.2796725528949242,0.0013180124592747549,2.532705242134031
5,0.06045456909083698,0.024,8.841576523230144,0.2650429760043552,16.97510253426703,-1.2870412520176355,0.0013332214353896695,2.541913947473124
6,0.07570605277567573,0.03,8.887828246389025,0.268075425303359,17.169153700283374,-1.2943832541347016,0.0013484621783291064,2.5511417323703114
7,0.0910129031698976,0.036,8.93391384360887,0.2711140613074237,17.363600980806098,-1.3016986977020824,0.001363734032029124,2.5603884653525917
8,0.10637523396201315,0.041999999999999996,8.979834168668091,0.2741587552715191,17.558436134664007,-1.308987720639189,0.0013790363492296501,2.5696540154753955
9,0.12179315805486553,0.047999999999999994,9.025590072120545,0.27720938018167357,17.753651031489383,-1.316250460323673,0.0013943684913730974,2.578938252327151
10,0.13726678756882843,0.05399999999999999,9.071182401261812,0.28026581073495505,17.94923765043663,-1.3234870535864296,0.0014097298285037259,2.5882410460336525
11,0.15279623384503035,0.05999999999999999,9.116612000096746,0.2833279233196022,18.145188078910465,-1.3306976367068137,0.001425119739167755,2.597562267262238
12,0.16838160744860378,0.06599999999999999,9.16187970930848,0.2863955959953069,18.341494511303857,-1.3378823454080675,0.0014405376103142427,2.6069017872257714
13,0.1840230181719584,0.072,9.20698636622864,0.28946870847365047,18.538149247745732,-1.3450413148529459,0.0014559828371967286,2.616259477686446
14,0.19972057503807708,0.078,9.251932804808899,0.29254714209869337,18.735144692858608,-1.3521746796395488,0.0014714548232756602,2.6256352109593917
15,0.21547438630383342,0.084,9.29671985559378,0.2956307798277218,18.932473354526145,-1.3592825737973473,0.001486952980121596,2.6350288599161265
16,0.23128455946333018,0.09000000000000001,9.341348345694643,0.2987195062121499,19.130127842670763,-1.3663651307833982,0.0015024767273192007,2.644440297987818
17,0.24715120125125709,0.09600000000000002,9.385819098764978,0.3018132073785814,19.32810086804144,-1.3734224834787518,0.0015180254923720371,2.653869399168364
18,0.26307441764626727,0.10200000000000002,9.430132934976754,0.3049117710100298,19.526385241011592,-1.3804547641850382,0.0015335987106081545,2.6633160380173417
19,0.2790543138743713,0.10800000000000003,9.47429067099803,0.30801508632729824,19.72497387038725,-1.3874621046212394,0.0015491958250864802,2.6727800896627443
20,0.29509099441234776,0.11400000000000003,9.518293119971627,0.3111230440705205,19.92385976222555,-1.3944446359206326,0.0015648162865040268,2.682261429803604
21,0.31118456299116937,0.12000000000000004,9.562141091494961,0.31423553648086333,20.1230360186635,-1.4014024886279093,0.0015804595531039012,2.6917599347124233
22,0.3273351225994439,0.12600000000000003,9.605835391600916,0.317352457282391,20.32249583675715,-1.4083357926964584,0.0015961250905841353,2.7012754812374746
23,0.3435427754868688,0.13200000000000003,9.64937682273979,0.3204737016640924,20.5222325073312,-1.4152446774858212,0.0016118123720073334,2.710807946804942
24,0.35980762316769843,0.13800000000000004,9.692766183762297,0.32359916626207147,20.72223941383903,-1.4221292717593004,0.001627520877711139,2.720357209420908
25,0.37612976642422385,0.14400000000000004,9.736004269903558,0.32672874914190037,20.922510031233127,-1.428989703681729,0.0016432500952195186,2.7299231476732198
26,0.3925093053102632,0.15000000000000005,9.779091872768094,0.3298623497811377,21.12303792484613,-1.4358261008173971,0.0016589995191548799,2.7395056407331904
27,0.40894633915466233,0.15600000000000006,9.822029780315791,0.33299986905200907,21.32381674928225,-1.4426385901281227,0.0016747686511510026,2.749104568357179
28,0.4254409665648054,0.16200000000000006,9.864818776848793,0.3361412092042531,21.52484024731925,-1.4494272979714726,0.0016905569997668016,2.7587198108880373
29,0.4419932854301336,0.16800000000000007,9.907459642999362,0.33928627384813176,21.726102248820947,-1.4561923500991267,0.0017063640804009142,2.7683512492564066
30,0.45860339292567204,0.17400000000000007,9.949953155718562,0.3424349679376032,21.927596669660186,-1.462933871655384,0.0017221894152071114,2.777998764981926
31,0.4752713855155636,0.18000000000000008,9.99230008826593,0.34558719775366126,22.129317510652356,-1.4696519871758005,0.0017380325330105353,2.7876622401742672
32,0.4919973589566092,0.18600000000000008,10.034501210199924,0.3487428708878365,22.331258856499396,-1.4763468205859658,0.0017538929692247627,2.79734155753409
33,0.5087814083018137,0.1920000000000001,10.076557287369257,0.35190189622586315,22.53341487474428,-1.483018495200406,0.00176977026576969,2.8070366003538596
34,0.5256236279039369,0.1980000000000001,10.118469081905006,0.3550641839315086,22.735779814736013,-1.489667133721618,0.0017856639709902442,2.816747252518552
35,0.5425241114190482,0.2040000000000001,10.16023735221362,0.35822964543056734,22.938348006605057,-1.4962928582392219,0.0018015736395759132,2.826473398506236
36,0.5594829518100857,0.2100000000000001,10.201862852970573,0.3613981933950157,23.141113860249174,-1.5028957902292406,0.0018174988324810935,2.836214923388579
37,0.5765002413504171,0.2160000000000001,10.243346335114868,0.36456974172733264,23.34407186432975,-1.5094760505534928,0.001833439116846263,2.8459717128312016
38,0.5935760716274043,0.22200000000000011,10.284688545844311,0.3677442055449791,23.547216585278413,-1.5160337594591011,0.00184939406591996,2.8557436530939535
39,0.610710533545968,0.22800000000000012,10.325890228611396,0.37092150116504224,23.750542666314082,-1.5225690365781173,0.0018653632589815815,2.8655306310310977
40,0.6279037173321547,0.23400000000000012,10.366952123120026,0.37410154608903845,23.954044826470273,-1.5290820009272466,0.00188134628126499,2.8753325340913594
