step,t,tau,E,Omega,w_inf,phi_prime,czeta_count,wall_s
1,0.00933831210792347,0.006,0.003111611664871435,0.19963115886136035,1.0112787388666868,1.5563853513205783,0,0.0857851505279541
2,0.01870819123950051,0.012,0.003666183695630193,0.23505771479389567,1.0822204775352762,1.5616465219295068,0,0.1589374542236328
3,0.028110027458391373,0.018000000000000002,0.004263603313271271,0.27323754370724007,1.1533769648365648,1.5669727031484773,0,0.2402944564819336
4,0.03754418464621248,0.024,0.004903289662844444,0.31413133577230035,1.2246790097045497,1.572359531303518,0,0.3177170753479004
5,0.04701100393005986,0.03,0.0055846651445265105,0.35770044533085055,1.296067271329798,1.5778032139745624,0,0.3861265182495117
6,0.056510806620532164,0.036,0.006307155831174937,0.4039068130146347,1.36749081306465,1.5833004484120516,0,0.46094703674316406
7,0.06604389673304487,0.041999999999999996,0.007070191810656089,0.4527129084400685,1.4389058756915933,1.5888483520854495,0,0.5246472358703613
8,0.07561056315397696,0.047999999999999994,0.00787320746598555,0.5040816878676934,1.510274836070232,1.5944444034886818,0,0.6132698059082031
9,0.08521108150375054,0.05399999999999999,0.008715641704034136,0.5579765627659551,1.5815653224961892,1.600086391628928,0,0.6862030029296875
10,0.09484571574100695,0.05999999999999999,0.009596938141665984,0.6143613763346668,1.6527494625952939,1.6057723728760689,0,0.7624547481536865
11,0.10451471954536268,0.06599999999999999,0.010516545256617212,0.6732003858481536,1.7238032433633657,1.6115006340592877,0,0.8341546058654785
12,0.11421833751059537,0.072,0.011473916509138532,0.7344582492595231,1.7947059661535305,1.6172696608721153,0,0.9148445129394531
13,0.12395680617535627,0.078,0.012468510439365713,0.7981000149285529,1.865439782101476,1.6230781107934822,0,0.9863388538360596
14,0.133730354914486,0.084,0.01349979074450891,0.864091113641212,1.9359892957430822,1.6289247898549575,0,1.0483059883117676
15,0.1435392067106098,0.09000000000000001,0.014567226339232815,0.9323973523110153,2.0063412264851976,1.6348086326872968,0,1.1121485233306885
16,0.15338357882280562,0.09600000000000002,0.015670291402007385,1.0029849089143024,2.076484119195608,1.64072868536597,0,1.1914432048797607
17,0.16326368336669486,0.10200000000000002,0.01680846540972179,1.0758203283297836,2.1464080965301,1.6466840906482045,0,1.2727208137512207
